exp,model,difficulty_bin,mean_max_neg_cosim,mean_avg_neg_cosim,n,R@1,R@5,R@10,MRR,nDCG@10,median_rank,mean_rank
exp_01,Hybrid LTP (Matched),Easy,0.8195217105529448,0.5420837495130582,1402,0.34165477888730383,0.6911554921540656,0.81811697574893,0.4967713790095329,0.5669391385662311,3.0,7.600570613409415
exp_01,Hybrid LTP (Matched),Medium,0.8862638681978093,0.5807051292748897,1401,0.30406852248394006,0.6652391149179158,0.795146324054247,0.46401941931116214,0.5353697030997208,3.0,8.15346181299072
exp_01,Hybrid LTP (Matched),Hard,0.9265889647853868,0.5921594625745452,1402,0.2738944365192582,0.6355206847360912,0.7831669044222539,0.43480773159005304,0.5086709648622884,3.0,8.093437945791726
exp_01,Hybrid LTP (Matched),ALL,0.8774560870795415,0.5716472935697837,4205,0.3065398335315101,0.6639714625445897,0.7988109393579073,0.4651997906101207,0.5369936549463716,3.0,7.9491082045184305
exp_02,Explicit-only LTP,Easy,0.8195217105529448,0.5420837495130582,1402,0.26676176890156916,0.587018544935806,0.7082738944365192,0.41584706698640983,0.4763785614503218,4.0,13.19400855920114
exp_02,Explicit-only LTP,Medium,0.8862638681978093,0.5807051292748897,1401,0.20842255531763026,0.5260528194147038,0.6723768736616702,0.35420768555561877,0.4184191757388693,5.0,13.156316916488223
exp_02,Explicit-only LTP,Hard,0.9265889647853868,0.5921594625745452,1402,0.1825962910128388,0.5,0.6697574893009985,0.33399922093555623,0.4012539065359937,5.5,12.703994293865906
exp_02,Explicit-only LTP,ALL,0.8774560870795415,0.5716472935697837,4205,0.2192627824019025,0.53769322235434,0.6834720570749108,0.3680212754173647,0.43202044835361947,5.0,13.01807372175981
exp_03,Implicit-only LTP,Easy,0.8195217105529448,0.5420837495130582,1402,0.3744650499286733,0.7168330955777461,0.8295292439372325,0.5247142659227313,0.5910862132964192,2.0,7.014265335235378
exp_03,Implicit-only LTP,Medium,0.8862638681978093,0.5807051292748897,1401,0.29978586723768735,0.6616702355460385,0.8151320485367595,0.46271077872530214,0.5396833742432658,3.0,7.9428979300499645
exp_03,Implicit-only LTP,Hard,0.9265889647853868,0.5921594625745452,1402,0.2574893009985735,0.6176890156918687,0.7831669044222539,0.41727325605659993,0.49496459241048135,4.0,8.08345221112696
exp_03,Implicit-only LTP,ALL,0.8774560870795415,0.5716472935697837,4205,0.31058263971462546,0.6653983353151011,0.8092746730083235,0.46823408009730577,0.5419119231666801,3.0,7.680142687277051
exp_04,No-LTP,Easy,0.8195217105529448,0.5420837495130582,1402,0.23109843081312412,0.5206847360912982,0.6611982881597718,0.3684933772980983,0.42682452367339485,5.0,15.594864479315264
exp_04,No-LTP,Medium,0.8862638681978093,0.5807051292748897,1401,0.18201284796573874,0.47751605995717344,0.6324054246966453,0.3231826349518699,0.38441010464675235,6.0,17.17844396859386
exp_04,No-LTP,Hard,0.9265889647853868,0.5921594625745452,1402,0.15905848787446505,0.4400855920114123,0.6148359486447932,0.30044942021173315,0.36109449186562914,7.0,16.49358059914408
exp_04,No-LTP,ALL,0.8774560870795415,0.5716472935697837,4205,0.19072532699167657,0.4794292508917955,0.6361474435196195,0.33071026722386526,0.3907778873711799,6.0,16.422116527942926
exp_01,Hybrid LTP (Matched),HardNeg,0.9253209209470488,0.8688636446892152,4205,0.02116527942925089,0.09583828775267539,0.16123662306777645,0.07419176293957498,0.07937544381118011,51.0,78.26825208085613
