comparison,label,difficulty_bin,n,mean_max_neg_cosim,gain_R@1,gain_R@1_ci_low,gain_R@1_ci_high,gain_R@1_significant,gain_R@5,gain_R@5_ci_low,gain_R@5_ci_high,gain_R@5_significant,gain_MRR,gain_MRR_ci_low,gain_MRR_ci_high,gain_MRR_significant,gain_nDCG@10,gain_nDCG@10_ci_low,gain_nDCG@10_ci_high,gain_nDCG@10_significant
exp_01 - exp_04,Hybrid LTP (Matched) − No-LTP,Easy,1402,0.8195217105529448,0.11055634807417972,0.08416547788873041,0.1355206847360913,True,0.1704707560627674,0.14477532097004275,0.19757489300998565,True,0.1282780017114346,0.10885001215605078,0.14698595695142622,True,0.14011461489283628,0.12210346829113743,0.15793987750714295,True
exp_01 - exp_04,Hybrid LTP (Matched) − No-LTP,Medium,1401,0.8862638681978093,0.12205567451820132,0.09707351891506069,0.14917915774446822,True,0.18772305496074232,0.1605995717344753,0.21698786581013563,True,0.14083678435929226,0.1218121961342883,0.16158640197067525,True,0.1509595984529684,0.13278163602472462,0.1702809650600949,True
exp_01 - exp_04,Hybrid LTP (Matched) − No-LTP,Hard,1402,0.9265889647853868,0.11483594864479316,0.08915834522111271,0.1398002853067047,True,0.19543509272467896,0.16761768901569185,0.22253922967189727,True,0.13435831137831988,0.11516859740279724,0.1533465814870243,True,0.1475764729966592,0.12937232992707562,0.1656605761763106,True
exp_01 - exp_04,Hybrid LTP (Matched) − No-LTP,ALL,4205,0.8774560870795415,0.11581450653983352,0.10130202140309152,0.1305588585017836,True,0.18454221165279422,0.1688466111771701,0.2,True,0.13448952338625542,0.12329781855503687,0.14626797863111274,True,0.14621576757519172,0.13581657126943797,0.15724589031621314,True
exp_03 - exp_04,Implicit-only LTP − No-LTP,Easy,1402,0.8195217105529448,0.14336661911554918,0.11412268188302424,0.17189728958630526,True,0.19614835948644793,0.16619115549215413,0.22539229671897287,True,0.15622088862463301,0.13303790374690797,0.17842241796400393,True,0.16426168962302434,0.1416629644614958,0.18594723390052037,True
exp_03 - exp_04,Implicit-only LTP − No-LTP,Medium,1401,0.8862638681978093,0.11777301927194861,0.09064953604568168,0.14420057102069941,True,0.1841541755888651,0.15629907209136326,0.2155603140613847,True,0.13952814377343226,0.11896763861851524,0.1608097789650146,True,0.1552732695965135,0.1349753973948242,0.17515043652840467,True
exp_03 - exp_04,Implicit-only LTP − No-LTP,Hard,1402,0.9265889647853868,0.09843081312410842,0.07130884450784593,0.1248395149786019,True,0.17760342368045645,0.14550641940085596,0.20827389443651922,True,0.11682383584486677,0.09582062531453497,0.13852726814375063,True,0.1338701005448522,0.11286077271531016,0.15519419886509625,True
exp_03 - exp_04,Implicit-only LTP − No-LTP,ALL,4205,0.8774560870795415,0.11985731272294889,0.10416171224732462,0.13579072532699166,True,0.18596908442330556,0.16908442330558854,0.20380499405469676,True,0.1375238128734405,0.12542476849173634,0.15020835869077007,True,0.15113403579550022,0.13921982467851088,0.16339499073919947,True
exp_02 - exp_04,Explicit-only LTP − No-LTP,Easy,1402,0.8195217105529448,0.035663338088445046,0.012820970042795988,0.05777460770328102,True,0.06633380884450779,0.042082738944365206,0.08917617689015689,True,0.04735368968831155,0.029522508491567897,0.06403934232563761,True,0.04955403777692696,0.0328873388641647,0.06452541258932117,True
exp_02 - exp_04,Explicit-only LTP − No-LTP,Medium,1401,0.8862638681978093,0.02640970735189152,0.007137758743754468,0.04710920770877944,True,0.04853675945753039,0.0249821556031406,0.0742505353319057,True,0.031025050603748883,0.016610201033882235,0.04570750575901697,True,0.03400907109211693,0.020964156280182514,0.04847811696744087,True
exp_02 - exp_04,Explicit-only LTP − No-LTP,Hard,1402,0.9265889647853868,0.023537803138373753,0.002139800285306692,0.0442225392296719,True,0.059914407988587715,0.035663338088445073,0.08416547788873041,True,0.033549800723823076,0.018340972298011446,0.048370405834344654,True,0.040159414670364546,0.026174068956924024,0.05452093616046515,True
exp_02 - exp_04,Explicit-only LTP − No-LTP,ALL,4205,0.8774560870795415,0.028537455410225926,0.016171224732461353,0.04114149821640903,True,0.05826397146254453,0.044470868014268694,0.07229488703923903,True,0.03731100819349942,0.028023331601503214,0.04674153437608461,True,0.04124256098243956,0.032562523427563855,0.05003969860215374,True
