comparison,label,metric,difference,ci_low,ci_high,significant
exp_01 - exp_04,Hybrid LTP − No-LTP,preference_claim_ratio,-0.00028874563177328297,-0.001846326490127723,0.0012543179478196247,False
exp_01 - exp_04,Hybrid LTP − No-LTP,preference_generation_coverage,-0.0014268727705112963,-0.009512485136741973,0.006426872770511268,False
exp_01 - exp_04,Hybrid LTP − No-LTP,preference_reference_alignment_rate,-0.03858661663539714,-0.1481484627946271,0.07450908954936113,False
exp_01 - exp_04,Hybrid LTP − No-LTP,preference_reference_contradiction_rate,0.0,0.0,0.0,False
exp_01 - exp_04,Hybrid LTP − No-LTP,preference_nonexistent_rate,0.02557848655409628,-0.08764337274829649,0.1336379092499302,False
exp_01 - exp_04,Hybrid LTP − No-LTP,metadata_support_rate,0.033463588113845866,-0.010396856031324325,0.07669287721173867,False
exp_01 - exp_04,Hybrid LTP − No-LTP,UCR_L1_clause,-0.008557398989174764,-0.013443051857972834,-0.004045697630361927,True
exp_01 - exp_04,Hybrid LTP − No-LTP,UCR_L2_sentence,-0.003448210121298121,-0.006790096595802722,-0.00012726581868013496,True
exp_01 - exp_04,Hybrid LTP − No-LTP,audio_claim_ratio,0.01621847355272449,0.010610361513103472,0.02224366834062952,True
exp_01 - exp_04,Hybrid LTP − No-LTP,claims_per_generation,0.09464922711058232,0.057788347205708114,0.1310523186682516,True
exp_03 - exp_04,Implicit-only LTP − No-LTP,preference_claim_ratio,0.00045544252139406716,-0.0012512285995638231,0.0021010198025494136,False
exp_03 - exp_04,Implicit-only LTP − No-LTP,preference_generation_coverage,0.00023781212841855054,-0.007853745541022597,0.008085612366230677,False
exp_03 - exp_04,Implicit-only LTP − No-LTP,preference_reference_alignment_rate,-0.005362394049472419,-0.11170075369957623,0.1057004936120789,False
exp_03 - exp_04,Implicit-only LTP − No-LTP,preference_reference_contradiction_rate,0.02127659574468085,0.0,0.04667449664429526,False
exp_03 - exp_04,Implicit-only LTP − No-LTP,preference_nonexistent_rate,0.015049299429164498,-0.1005222540759657,0.12396581109179525,False
exp_03 - exp_04,Implicit-only LTP − No-LTP,metadata_support_rate,-0.015234737935180709,-0.05777742814492287,0.0293850356929881,False
exp_03 - exp_04,Implicit-only LTP − No-LTP,UCR_L1_clause,-0.008708618736063406,-0.013558794728840699,-0.004255644788806009,True
exp_03 - exp_04,Implicit-only LTP − No-LTP,UCR_L2_sentence,-0.0030948628767817343,-0.006428558721485252,-7.356583505824958e-06,True
exp_03 - exp_04,Implicit-only LTP − No-LTP,audio_claim_ratio,0.002402434195465486,-0.003374150286259624,0.008365513371391043,False
exp_03 - exp_04,Implicit-only LTP − No-LTP,claims_per_generation,-0.0052318668252082645,-0.04042806183115388,0.03092152199762114,False
exp_02 - exp_04,Explicit-only LTP − No-LTP,preference_claim_ratio,0.00447102863005021,0.002636411441268264,0.006280658129687129,True
exp_02 - exp_04,Explicit-only LTP − No-LTP,preference_generation_coverage,0.0178359096313912,0.008793103448275857,0.02664090368608796,True
exp_02 - exp_04,Explicit-only LTP − No-LTP,preference_reference_alignment_rate,0.04396602625244128,-0.06054515325761116,0.15355055208923168,False
exp_02 - exp_04,Explicit-only LTP − No-LTP,preference_reference_contradiction_rate,0.00558659217877095,0.0,0.018518518518518517,False
exp_02 - exp_04,Explicit-only LTP − No-LTP,preference_nonexistent_rate,-0.013398737339328726,-0.12967790100201046,0.08790295582962425,False
