audit_id,exp,sample_idx,video_id,claim_id,rule_label
PC-001-8418735ecf58,exp_04,992,eXp7rsgof10,3,uncheckable
PC-002-3525dc2ab9f1,exp_03,1359,Hwm7PHqmIMk,5,contradicted
PC-003-b57aeff263f5,exp_03,846,ErozDMca7Ss,1,supported
PC-004-75450651583d,exp_02,2987,Umikfafqytg,4,uncheckable
PC-005-ac977f3924e7,exp_03,1123,otUYbnlSnqI,3,partially_supported
PC-006-dae56fbbb7b5,exp_04,2479,gfQ0zQbsc2E,5,partially_supported
PC-007-0366693ce32c,exp_01,2366,NSQe-9ndGE8,6,supported
PC-008-504fea42eda9,exp_04,4150,Z0Ujpe2xWKs,4,not_found
PC-009-ff44a676c1b6,exp_04,3684,LfyxIib8agk,3,supported
PC-010-bc7937fa0b62,exp_04,2522,ZHiY2yIHCLo,5,uncheckable
PC-011-92242fd92aa5,exp_01,2850,ecIjuCuj0Fc,3,uncheckable
PC-012-c1db38cbee08,exp_03,1398,YIoSLwolzBU,2,uncheckable
PC-013-e3d8b235394a,exp_01,2342,egXAB1HRIzo,4,uncheckable
PC-014-e44cde0b11fc,exp_04,3390,BFkKdm3aDuM,6,supported
PC-015-bec8385177b5,exp_01,185,PejSVjDnqxM,4,supported
PC-016-f9c78b804d12,exp_02,2047,vjsCA2zt3ZU,4,not_found
PC-017-eac9bd2cdaec,exp_01,2280,aWwl2d091lY,4,supported
PC-018-79714001a5df,exp_01,2950,Z66iQaUTALo,3,partially_supported
PC-019-4a44a7f02af1,exp_04,1277,y2GXHr7P3D0,3,uncheckable
PC-020-d82dda9c1a33,exp_01,2184,FZaAeXXsuRA,4,not_found
PC-021-235ffda1e6ac,exp_02,3884,TPWTYVMprDw,1,partially_supported
PC-022-273991220e12,exp_02,3002,OZIzFPyEcCs,6,supported
PC-023-5e151d6f3a96,exp_01,1992,x4VBnB-TQU8,3,uncheckable
PC-024-6ddad8889651,exp_01,11,FM3zPkIULME,4,supported
PC-025-72e195fd9188,exp_02,2082,HsTSLEVHnhI,4,not_found
PC-026-574b874529c5,exp_04,3033,svIgqPSYu34,4,supported
PC-027-af698a1494b8,exp_03,43,BWA8uWzFeA0,5,contradicted
PC-028-2859b3d5b736,exp_01,746,94bRnqqGY2o,6,not_found
PC-029-de742f016d77,exp_04,3671,yq9TM2Pt5Ng,4,not_found
PC-030-6b536fb10658,exp_04,2234,SxAcYchY-Kk,4,partially_supported
PC-031-bc6aef97e7ff,exp_01,3241,pNXABaoBQp0,4,supported
PC-032-b05aa84b652c,exp_01,825,h3uoE-aUzJo,4,not_found
PC-033-85178de361ef,exp_02,2938,JTCq0ldtVjw,2,not_found
PC-034-fdc1edd1f5f2,exp_01,728,8G6PaaQhZlI,4,partially_supported
PC-035-29a349097746,exp_01,2307,5P-y7peINPM,4,not_found
PC-036-927e4a8ad335,exp_01,1552,5TMO9A7uccw,6,uncheckable
PC-037-57cf27206f6b,exp_03,2935,3nXCYSDR-dk,6,partially_supported
PC-038-04d647f060cf,exp_02,2233,bZoYYIslJUU,6,not_found
PC-039-83a730120503,exp_04,2328,F8GzCxDA9-I,5,not_found
PC-040-ee774981f423,exp_03,2061,IFLUuO97cH4,4,not_found
PC-041-8dc37386b2f4,exp_03,140,adGqUaCDels,4,supported
PC-042-695033a7092f,exp_04,3423,PEAyaXlMj2U,4,not_found
PC-043-68dd6a81e1f7,exp_03,2397,YacWmYNJmPo,4,not_found
PC-044-2d6e89f6b09c,exp_04,1684,S4cfd3vYA70,6,partially_supported
PC-045-b6ec21108cf8,exp_03,4065,9rKrBY3C6W8,3,contradicted
PC-046-3ae0f547d679,exp_04,3965,4jU0X_uAsr8,2,supported
PC-047-0f63082def85,exp_03,2008,_rZ_UjzMUe0,4,not_found
PC-048-966c204e53e0,exp_03,3898,rx6G3GbHPvY,1,uncheckable
PC-049-34739155647e,exp_02,2062,CwaCUO9SEr8,4,supported
PC-050-10ca451560bf,exp_03,1186,A4tclQmgWqI,5,uncheckable
PC-051-fdb81447d51b,exp_03,3696,fnGkeIqyTfs,4,not_found
PC-052-2c45ab7fd6ac,exp_03,114,KW9L4ZWFlHw,6,uncheckable
PC-053-6f65613458c8,exp_04,368,4pYwUVwudJY,3,partially_supported
PC-054-b93939f2c5ba,exp_02,3181,Ru-JFYbKjX4,2,partially_supported
PC-055-e8007d74b97e,exp_02,2228,sTfpH6dolrY,1,partially_supported
PC-056-21c56fa54091,exp_03,201,Kgo4EU1nLkM,1,supported
PC-057-a70735920891,exp_02,917,M7Hj2kWTPcY,4,supported
PC-058-52c1cfe30309,exp_01,2480,KNVhtqLqM9g,4,not_found
PC-059-4531ceb2c701,exp_04,1388,aasg9gPQAy4,4,partially_supported
PC-060-86060fa5ccb9,exp_04,680,DLl05qlA5fA,4,supported
PC-061-56b1a0f90976,exp_02,2609,iwxzc2MlkRg,5,partially_supported
PC-062-cfa2046e37ca,exp_03,2673,6I0Dv46ZgZE,3,uncheckable
PC-063-0ab275809c2d,exp_03,2428,0XoYO_3rrmg,5,partially_supported
PC-064-ee51170d2f15,exp_01,2123,Uive4DMqAdc,5,partially_supported
PC-065-600a019ae0a6,exp_02,2456,iN9AhCfq640,4,supported
PC-066-18a9e54e37ff,exp_03,2898,A1JoalHgzxA,2,uncheckable
PC-067-8131e0c6add7,exp_04,1129,1wmfaMNar1c,5,uncheckable
PC-068-70de4473d80a,exp_02,3339,O_XweNuwYq4,2,contradicted
PC-069-9aa76cfc4599,exp_04,3717,qXtdpyh3GLk,6,uncheckable
PC-070-a7a48624f154,exp_02,3525,A6Wslro1JkQ,4,partially_supported
PC-071-911e9c25c68d,exp_04,3375,5CPOsLa2Rws,6,supported
PC-072-8d539a7577aa,exp_03,2919,Pp9lXzrO5PM,4,partially_supported
PC-073-9cf44be754f3,exp_03,1005,SCvo0xi01gc,4,supported
PC-074-9503412b88a1,exp_02,2139,Ts5lCUXE6_g,3,supported
PC-075-7a96bfb52c26,exp_01,4095,tOuBxoTXavQ,5,partially_supported
PC-076-7cd0e1c81a30,exp_03,3393,4B9j24Swo7U,6,not_found
PC-077-973d62f9b5d5,exp_01,4153,RQg_-dByKqQ,2,uncheckable
PC-078-f1ec11ce80ef,exp_04,1409,7Me3LO-3JEs,4,not_found
PC-079-be35a89ea66a,exp_01,427,EE-QljIQPXs,6,uncheckable
PC-080-a0e42d50a2fe,exp_03,3343,8dDYIX97ZE8,5,not_found
PC-081-f05bd492ce8d,exp_02,2545,Kp3CWiVOmaw,4,uncheckable
PC-082-0c66b3dad697,exp_02,3338,6k-5I47ytJw,1,uncheckable
PC-083-240a028a7668,exp_03,304,tDFmih3aa9A,3,partially_supported
PC-084-351fc3e518c9,exp_01,1684,S4cfd3vYA70,5,partially_supported
PC-085-2db2ef6ea681,exp_02,1567,FNTwSyyJiTY,6,supported
PC-086-7ee65bac80b3,exp_02,475,OdNoAfttJ_4,4,not_found
PC-087-117296aeefbb,exp_01,2551,SuPWYr_ubcI,5,partially_supported
PC-088-1888410d24cc,exp_02,1999,TMnXjSntRfM,3,uncheckable
PC-089-1293684db5ce,exp_03,2583,VcLywBMHZxQ,3,supported
PC-090-c3b824945ebd,exp_01,199,P1dUHOx1yDU,3,uncheckable
PC-091-1c21aab2f298,exp_01,3211,7yCm7swRkXU,6,supported
PC-092-d50c3049b2ce,exp_02,185,PejSVjDnqxM,1,uncheckable
PC-093-058c564df0a7,exp_02,4018,dwggxrfBFG0,1,not_found
PC-094-599fd215e65f,exp_02,3772,SYvciTJNrrk,1,uncheckable
PC-095-8b90172d844b,exp_04,2029,it2AIq9RcEA,6,uncheckable
PC-096-6ad903e6945d,exp_04,944,CXkUmI2nFE4,5,partially_supported
PC-097-43d020b117f4,exp_04,2368,pQdbNvEAmo0,1,uncheckable
PC-098-4300ff75af2c,exp_04,2602,73-enik6FDY,6,not_found
PC-099-6458fc6f2505,exp_01,761,HwTjBCcc9bI,6,not_found
PC-100-aafc2467e793,exp_02,2715,oOXdxeqtHHc,4,not_found
