comparison,label,metric,difference,ci_low,ci_high,significant
exp_02 - exp_04,Explicit-only LTP − No-LTP,direction_accuracy,-0.10999999999999999,-0.15749999999999997,-0.06000000000000005,True
exp_02 - exp_04,Explicit-only LTP − No-LTP,net_direction_accuracy,-0.09999999999999998,-0.15000000000000002,-0.04500000000000004,True
exp_02 - exp_04,Explicit-only LTP − No-LTP,prompt_echo_rate,0.06526239166771841,0.043691473495323166,0.08617935929585019,True
exp_02 - exp_04,Explicit-only LTP − No-LTP,title_drift_rate,0.0,-0.0325,0.034999999999999996,False
exp_02 - exp_04,Explicit-only LTP − No-LTP,text_change_rate,0.0,0.0,0.0,False
exp_01 - exp_04,Hybrid LTP − No-LTP,direction_accuracy,0.09250000000000003,0.05999999999999994,0.13,True
exp_01 - exp_04,Hybrid LTP − No-LTP,net_direction_accuracy,0.08750000000000002,0.04249999999999998,0.13006249999999966,True
exp_01 - exp_04,Hybrid LTP − No-LTP,prompt_echo_rate,-0.026327991820199514,-0.048043182137344195,-0.003958178186646456,True
exp_01 - exp_04,Hybrid LTP − No-LTP,title_drift_rate,-0.0575,-0.08499999999999999,-0.03,True
exp_01 - exp_04,Hybrid LTP − No-LTP,text_change_rate,0.0,0.0,0.0,False
exp_03 - exp_04,Implicit-only LTP − No-LTP,direction_accuracy,-0.04749999999999999,-0.08999999999999997,-0.002500000000000055,True
exp_03 - exp_04,Implicit-only LTP − No-LTP,net_direction_accuracy,-0.022499999999999964,-0.07250000000000001,0.025000000000000022,False
exp_03 - exp_04,Implicit-only LTP − No-LTP,prompt_echo_rate,0.013215742533522645,-0.007780845054261007,0.03348756849698816,False
exp_03 - exp_04,Implicit-only LTP − No-LTP,title_drift_rate,0.05499999999999999,0.0175,0.09500000000000001,True
exp_03 - exp_04,Implicit-only LTP − No-LTP,text_change_rate,0.0,0.0,0.0,False
exp_02 - exp_03,Explicit-only LTP − Implicit-only LTP,direction_accuracy,-0.0625,-0.11499999999999999,-0.010000000000000009,True
exp_02 - exp_03,Explicit-only LTP − Implicit-only LTP,net_direction_accuracy,-0.07750000000000001,-0.13,-0.022500000000000072,True
exp_02 - exp_03,Explicit-only LTP − Implicit-only LTP,prompt_echo_rate,0.052046649134195766,0.0324620225594756,0.07057217541407285,True
exp_02 - exp_03,Explicit-only LTP − Implicit-only LTP,title_drift_rate,-0.05499999999999999,-0.09250000000000001,-0.0175,True
exp_02 - exp_03,Explicit-only LTP − Implicit-only LTP,text_change_rate,0.0,0.0,0.0,False
exp_01 - exp_03,Hybrid LTP − Implicit-only LTP,direction_accuracy,0.14,0.09999999999999998,0.17999999999999994,True
exp_01 - exp_03,Hybrid LTP − Implicit-only LTP,net_direction_accuracy,0.10999999999999999,0.0675,0.15250000000000008,True
exp_01 - exp_03,Hybrid LTP − Implicit-only LTP,prompt_echo_rate,-0.03954373435372216,-0.05958723664668061,-0.019473934913245637,True
exp_01 - exp_03,Hybrid LTP − Implicit-only LTP,title_drift_rate,-0.1125,-0.1475,-0.0825,True
exp_01 - exp_03,Hybrid LTP − Implicit-only LTP,text_change_rate,0.0,0.0,0.0,False
exp_01 - exp_02,Hybrid LTP − Explicit-only LTP,direction_accuracy,0.2025,0.15749999999999997,0.2475624999999997,True
exp_01 - exp_02,Hybrid LTP − Explicit-only LTP,net_direction_accuracy,0.1875,0.13749999999999996,0.2350000000000001,True
exp_01 - exp_02,Hybrid LTP − Explicit-only LTP,prompt_echo_rate,-0.09159038348791793,-0.11263053040558771,-0.0703654076999644,True
exp_01 - exp_02,Hybrid LTP − Explicit-only LTP,title_drift_rate,-0.0575,-0.08499999999999999,-0.0325,True
exp_01 - exp_02,Hybrid LTP − Explicit-only LTP,text_change_rate,0.0,0.0,0.0,False
