exp,sample_idx,cf_variant,delta_target_terms,delta_opposite_terms,direction_accuracy,net_direction_accuracy,prompt_echo_rate,base_mentions_top1_title,cf_mentions_top1_title,title_drift,text_changed,top1_music_id
exp_01,54,cf_upbeat_electronic,5,0,1,1,1.0,1,1,0,1,X9qC7p7L7Ak_8zXy6LPpr1Y
exp_01,54,cf_lyrical_piano,8,0,1,1,1.0,1,1,0,1,X9qC7p7L7Ak_8zXy6LPpr1Y
exp_01,104,cf_upbeat_electronic,6,0,1,1,0.5714,1,1,0,1,JFof9BQKYO8_FPJ4va7F1Uk
exp_01,104,cf_lyrical_piano,14,-1,1,1,0.8571,1,1,0,1,JFof9BQKYO8_FPJ4va7F1Uk
exp_01,123,cf_upbeat_electronic,5,0,1,1,0.875,0,0,0,1,HA76Wa7uUxw_1Tgp_sAqnbA
exp_01,123,cf_lyrical_piano,6,-1,1,1,0.8333,0,0,0,1,HA76Wa7uUxw_1Tgp_sAqnbA
exp_01,166,cf_upbeat_electronic,7,0,1,1,1.0,1,1,0,1,QKvUGxF7qzA_scdO5HE8so4
exp_01,166,cf_lyrical_piano,5,-1,1,1,0.8,1,1,0,1,QKvUGxF7qzA_scdO5HE8so4
exp_01,215,cf_upbeat_electronic,3,0,1,1,0.7143,0,1,0,1,ahmgp5DyW64_ZrZqngJhrEc
exp_01,215,cf_lyrical_piano,0,2,0,0,,0,0,0,1,ahmgp5DyW64_ZrZqngJhrEc
exp_01,256,cf_upbeat_electronic,6,0,1,1,0.5714,1,1,0,1,qc7wevDH1OE_nkzZ3Cro0vU
exp_01,256,cf_lyrical_piano,8,-1,1,1,1.0,1,1,0,1,qc7wevDH1OE_nkzZ3Cro0vU
exp_01,261,cf_upbeat_electronic,3,0,1,1,0.6667,1,1,0,1,9EnOsXXK1Co_EbArGEbYA1s
exp_01,261,cf_lyrical_piano,3,0,1,1,0.6667,1,1,0,1,9EnOsXXK1Co_EbArGEbYA1s
exp_01,307,cf_upbeat_electronic,4,0,1,1,0.7143,0,0,0,1,DL3dhkazIc8_tQjxTUSkOqs
exp_01,307,cf_lyrical_piano,6,-2,1,1,1.0,0,0,0,1,DL3dhkazIc8_tQjxTUSkOqs
exp_01,310,cf_upbeat_electronic,3,0,1,1,1.0,1,1,0,1,hrJ4jlvWPTI_h2rwWlx2e_Q
exp_01,310,cf_lyrical_piano,5,-3,1,1,1.0,1,1,0,1,hrJ4jlvWPTI_h2rwWlx2e_Q
exp_01,313,cf_upbeat_electronic,4,0,1,1,0.625,1,1,0,1,J-gYJBsln-w_2EkwVQYQsw4
exp_01,313,cf_lyrical_piano,5,-1,1,1,0.8,1,1,0,1,J-gYJBsln-w_2EkwVQYQsw4
exp_01,323,cf_upbeat_electronic,5,0,1,1,1.0,0,1,0,1,2o6NI8HFkRM_h-hCB-0Hi0s
exp_01,323,cf_lyrical_piano,7,-1,1,1,1.0,0,1,0,1,2o6NI8HFkRM_h-hCB-0Hi0s
exp_01,326,cf_upbeat_electronic,5,0,1,1,0.8,1,1,0,1,6TVHq4teJIE_8GVWSK_1DeY
exp_01,326,cf_lyrical_piano,7,-4,1,1,0.8571,1,1,0,1,6TVHq4teJIE_8GVWSK_1DeY
exp_01,348,cf_upbeat_electronic,4,0,1,1,0.625,1,1,0,1,6WpF3T7_-WY_334K3xDT5OU
exp_01,348,cf_lyrical_piano,7,-3,1,1,0.8571,1,1,0,1,6WpF3T7_-WY_334K3xDT5OU
exp_01,357,cf_upbeat_electronic,6,0,1,1,0.625,1,1,0,1,D8VO8lVLNXs_Ab8oMDbRs_M
exp_01,357,cf_lyrical_piano,12,0,1,1,0.9167,1,1,0,1,D8VO8lVLNXs_Ab8oMDbRs_M
exp_01,358,cf_upbeat_electronic,5,0,1,1,1.0,1,1,0,1,48Ebe-oCMIQ_s2Odvz0uDyU
exp_01,358,cf_lyrical_piano,4,0,1,1,0.75,1,1,0,1,48Ebe-oCMIQ_s2Odvz0uDyU
exp_01,364,cf_upbeat_electronic,7,0,1,1,0.7778,1,1,0,1,XKMGhFjOoXg_Mbau7DWaexI
exp_01,364,cf_lyrical_piano,13,-2,1,1,1.0,1,1,0,1,XKMGhFjOoXg_Mbau7DWaexI
exp_01,410,cf_upbeat_electronic,5,0,1,1,0.875,1,1,0,1,aoURfZPqQ3Q_sero9EK_L8c
exp_01,410,cf_lyrical_piano,5,-2,1,1,0.6,1,1,0,1,aoURfZPqQ3Q_sero9EK_L8c
exp_01,412,cf_upbeat_electronic,6,0,1,1,0.625,0,1,0,1,6esL1D6dVyY_bfC1yYsPeM4
exp_01,412,cf_lyrical_piano,5,0,1,1,0.8,0,1,0,1,6esL1D6dVyY_bfC1yYsPeM4
exp_01,448,cf_upbeat_electronic,4,0,1,1,0.8,1,1,0,1,R_R2JC4Ekw0_47xbkT3calM
exp_01,448,cf_lyrical_piano,5,-3,1,1,0.8,1,1,0,1,R_R2JC4Ekw0_47xbkT3calM
