k,cluster,n,metric,gain,ci_low,ci_high,significant
3,0,1428,R@1,0.10784313725490194,0.08401610644257701,0.1323529411764706,True
3,0,1428,R@5,0.19817927170868344,0.16946778711484595,0.22619047619047616,True
3,0,1428,MRR,0.13771678398825643,0.1189882351841307,0.15674092492695682,True
3,1,2061,R@1,0.11693352741387675,0.0950994662785056,0.1377971858321203,True
3,1,2061,R@5,0.1751576904415333,0.1523532265890345,0.1974769529354682,True
3,1,2061,MRR,0.13240374947133265,0.11544438075738948,0.14822704306737827,True
3,2,716,R@1,0.12849162011173185,0.09217877094972068,0.1634078212290503,True
3,2,716,R@5,0.1843575418994413,0.14804469273743026,0.21930865921787696,True
3,2,716,MRR,0.1340569143066448,0.1074623466086719,0.1605369469933939,True
4,0,1094,R@1,0.12888482632541134,0.09780621572212067,0.16179159049360145,True
4,0,1094,R@5,0.20018281535648996,0.1700182815356489,0.2312614259597806,True
4,0,1094,MRR,0.1432166385793861,0.12036517776210874,0.16760877109510114,True
4,1,1309,R@1,0.09854851031321618,0.0710466004583652,0.1260504201680672,True
4,1,1309,R@5,0.1718869365928189,0.14438502673796794,0.2009358288770053,True
4,1,1309,MRR,0.12150077416258698,0.10120948303310348,0.14209599239909393,True
4,2,618,R@1,0.14401294498381878,0.1035598705501618,0.1828883495145629,True
4,2,618,R@5,0.17313915857605178,0.1326860841423948,0.21521035598705507,True
4,2,618,MRR,0.14261910321432492,0.11342536521947438,0.17300713715723715,True
4,3,1184,R@1,0.10810810810810811,0.08108108108108109,0.13597972972972971,True
4,3,1184,R@5,0.19003378378378377,0.16047297297297297,0.2204391891891892,True
4,3,1184,MRR,0.1365425034358757,0.11611611744419532,0.15758841810055277,True
