analysis_setting,prompt_variant,focal_exp,compare_exp,metric_group,metric,metric_label,higher_is_better,n_pairs,focal_mean,compare_mean,mean_improvement_positive_is_focal_better,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_statistic,p_value_raw,wilcoxon_method,p_value_holm,significant_holm_0.05
top1_end_to_end_generation,original,exp_01,exp_02,ranking,R@1,R@1,True,4205,0.3065398335315101,0.2192627824019025,0.08727705112960761,0.07253269916765755,0.10178359096313912,167936.0,1.7749815105302348e-30,scipy_wilcoxon,4.08245747421954e-29,True
top1_end_to_end_generation,original,exp_01,exp_02,ranking,R@5,R@5,True,4205,0.6639714625445897,0.53769322235434,0.1262782401902497,0.1112960760998811,0.1417360285374554,153707.0,4.753966273469502e-58,scipy_wilcoxon,1.2835708938367656e-56,True
top1_end_to_end_generation,original,exp_01,exp_02,ranking,R@10,R@10,True,4205,0.7988109393579073,0.6834720570749108,0.11533888228299644,0.10202140309155767,0.1291319857312723,85410.0,2.0427678895743528e-60,scipy_wilcoxon,5.719750090808188e-59,True
top1_end_to_end_generation,original,exp_01,exp_02,ranking,rank,Rank,False,4205,7.9491082045184305,13.01807372175981,5.068965517241379,4.5928537455410225,5.551016646848989,1431385.5,8.661171362162136e-130,scipy_wilcoxon,3.2912451176216114e-128,True
top1_end_to_end_generation,original,exp_01,exp_02,generation,bertscore_f1,BERTScore F1,True,4205,0.7525929961916099,0.7315227615138722,0.02107023467773773,0.018616524422441594,0.023527580069535266,3225246.0,1.8338113363300185e-50,scipy_wilcoxon,4.767909474458048e-49,True
top1_end_to_end_generation,original,exp_01,exp_02,generation,infolm_ab_divergence,InfoLM AB,False,4205,2.506864276716561,3.3489894729594876,0.8421251962429264,0.7715480236106111,0.9142107992961407,1913793.0,1.6591388446203136e-128,scipy_wilcoxon,6.138813725095161e-127,True
top1_end_to_end_generation,original,exp_01,exp_02,generation,infolm_l2_distance,InfoLM L2,False,4205,0.2063464893413515,0.24151343812304465,0.035166948781693165,0.031911762998722865,0.03840320367565961,2010970.0,1.4079809076509677e-113,scipy_wilcoxon,4.927933176778387e-112,True
top1_end_to_end_generation,original,exp_01,exp_02,generation,infolm_fisher_rao,InfoLM Fisher-Rao,False,4205,1.7602948537550553,2.0246452541861157,0.2643504004310606,0.24205451073164524,0.2870640004618759,1914864.0,2.451891151714404e-128,scipy_wilcoxon,8.826808146171856e-127,True
top1_end_to_end_generation,original,exp_01,exp_03,ranking,R@1,R@1,True,4205,0.3065398335315101,0.31058263971462546,-0.004042806183115339,-0.019976218787158145,0.011414982164090369,317512.0,0.61383675351717,scipy_wilcoxon,1.0,False
top1_end_to_end_generation,original,exp_01,exp_03,ranking,R@5,R@5,True,4205,0.6639714625445897,0.6653983353151011,-0.001426872770511296,-0.016409036860879904,0.01403091557669441,292407.5,0.8553967202491313,scipy_wilcoxon,1.0,False
top1_end_to_end_generation,original,exp_01,exp_03,ranking,R@10,R@10,True,4205,0.7988109393579073,0.8092746730083235,-0.010463733650416172,-0.022829964328180737,0.0023781212841854932,125366.5,0.10341614176523774,scipy_wilcoxon,0.5547044100500386,False
top1_end_to_end_generation,original,exp_01,exp_03,ranking,rank,Rank,False,4205,7.9491082045184305,7.680142687277051,-0.2689655172413793,-0.636397146254459,0.10464328180737209,2519082.0,0.3729353101345203,scipy_wilcoxon,1.0,False
top1_end_to_end_generation,original,exp_01,exp_03,generation,bertscore_f1,BERTScore F1,True,4205,0.7525929961916099,0.7550457026176022,-0.0024527064259922604,-0.00401896196954599,-0.0008637641154132191,4113660.0,0.0008050571528916419,scipy_wilcoxon,0.006440457223133135,True
top1_end_to_end_generation,original,exp_01,exp_03,generation,infolm_ab_divergence,InfoLM AB,False,4205,2.506864276716561,2.540678702549473,0.033814425832911936,-0.011850161313729348,0.08064601029477582,2877304.0,0.6154437980727201,scipy_wilcoxon,1.0,False
top1_end_to_end_generation,original,exp_01,exp_03,generation,infolm_l2_distance,InfoLM L2,False,4205,0.2063464893413515,0.21144542846137682,0.0050989391200253285,0.002466550060873464,0.007747696522860284,2762562.5,0.012459889751903,scipy_wilcoxon,0.087219228263321,False
top1_end_to_end_generation,original,exp_01,exp_03,generation,infolm_fisher_rao,InfoLM Fisher-Rao,False,4205,1.7602948537550553,1.8064136680188605,0.04611881426380511,0.025133849838949635,0.0677797541175063,2809472.0,0.09245073500833977,scipy_wilcoxon,0.5547044100500386,False
top1_end_to_end_generation,original,exp_01,exp_04,ranking,R@1,R@1,True,4205,0.3065398335315101,0.19072532699167657,0.11581450653983354,0.10059453032104637,0.1310344827586207,162357.0,1.837283366132094e-49,scipy_wilcoxon,4.593208415330235e-48,True
top1_end_to_end_generation,original,exp_01,exp_04,ranking,R@5,R@5,True,4205,0.6639714625445897,0.4794292508917955,0.1845422116527943,0.16860879904875148,0.20048156956004748,165893.5,1.590165643730168e-103,scipy_wilcoxon,5.2475466243095545e-102,True
top1_end_to_end_generation,original,exp_01,exp_04,ranking,R@10,R@10,True,4205,0.7988109393579073,0.6361474435196195,0.16266349583828776,0.1483947681331748,0.1769322235434007,101898.5,1.8887599463822026e-97,scipy_wilcoxon,6.0440318284230485e-96,True
top1_end_to_end_generation,original,exp_01,exp_04,ranking,rank,Rank,False,4205,7.9491082045184305,16.422116527942926,8.473008323424494,7.806165279429251,9.16604042806183,1261229.0,3.3947936731791046e-199,scipy_wilcoxon,1.3579174692716418e-197,True
top1_end_to_end_generation,original,exp_01,exp_04,generation,bertscore_f1,BERTScore F1,True,4205,0.7525929961916099,0.7483953407346564,0.004197655456953468,0.0024943222743364917,0.005949593797308369,4067776.5,2.2154022494046456e-05,scipy_wilcoxon,0.0002880022924226039,True
top1_end_to_end_generation,original,exp_01,exp_04,generation,infolm_ab_divergence,InfoLM AB,False,4205,2.506864276716561,2.639419631056729,0.1325553543401679,0.08389143450396608,0.18072050237868406,3023412.0,1.166483759513517e-05,scipy_wilcoxon,0.00016330772633189238,True
top1_end_to_end_generation,original,exp_01,exp_04,generation,infolm_l2_distance,InfoLM L2,False,4205,0.2063464893413515,0.21947042606859585,0.013123936727244349,0.010444386182369512,0.015895037914467943,2830107.0,9.983859234906816e-14,scipy_wilcoxon,1.896933254632295e-12,True
top1_end_to_end_generation,original,exp_01,exp_04,generation,infolm_fisher_rao,InfoLM Fisher-Rao,False,4205,1.7602948537550553,1.8690705472651612,0.1087756935101059,0.08710464671091336,0.1299326854583736,2917064.0,1.313115965632803e-09,scipy_wilcoxon,2.1009855450124847e-08,True
